,Words,Frequency
1366,mestressa,85
1367,broma,85
1368,cama,85
1369,caràcter,85
1370,tissafernes,85
1371,quines,85
1372,séu,85
1373,fina,85
1374,sentiments,85
1375,tall,85
1376,plenes,85
1377,crida,85
1378,malena,85
1379,restar,85
1380,teatre,85
1381,schoultz,85
1382,camisa,85
1383,lancelot,85
1384,llorenç,85
1385,dir-ho,84
1386,passaven,84
1387,intel,84
1388,cors,84
1389,ànimes,84
1390,dieu,84
1391,descobert,84
1392,esforç,84
1393,naturalment,84
1394,matar,84
1395,cantant,84
1396,canya,84
1397,tomb,84
1398,sortí,84
1399,olor,84
1400,fulla,84
1401,capitans,83
1402,sospir,83
1403,presents,83
1404,clau,83
1405,indrets,83
1406,esma,83
1407,pecat,83
1408,passos,83
1409,gorra,83
1410,xaneta,83
1411,estima,83
1412,volien,83
1413,pont,83
1414,única,83
1415,espectacle,83
1416,escena,82
1417,impressió,82
1418,obert,82
1419,donya,82
1420,manca,82
1421,milles,82
1422,acte,82
1423,presència,82
1424,dolç,82
1425,mocador,82
1426,convé,82
1427,portat,82
1428,noble,82
1429,joventut,82
1430,asseure,82
1431,ram,82
1432,tira,81
1433,hont,81
1434,semblants,81
1435,trobar-se,81
1436,crist,81
1437,banc,81
1438,caixa,81
1439,caminar,81
1440,fra,81
1441,velles,81
1442,donant,81
1443,x,81
1444,dius,81
1445,admiració,81
1446,cort,81
1447,anar-se,81
1448,parlant,80
1449,pitjor,80
1450,campana,80
1451,tropes,80
1452,espatlles,80
1453,esteu,80
1454,ans,80
1455,con,80
1456,dir-me,80
1457,mot,80
1458,munió,80
1459,carta,80
1460,quins,80
1461,horitzó,80
1462,troben,80
1463,raig,80
1464,vaixell,79
1465,somnis,79
1466,realitat,79
1467,restà,79
1468,diner,79
1469,caigué,79
1470,dotzena,79
1471,montserrat,79
1472,nombre,79
1473,següent,79
1474,segona,79
1475,rems,79
1476,dol,79
1477,dolors,79
1478,casament,79
1479,vermell,79
1480,seguí,78
1481,quarts,78
1482,donen,78
1483,poeta,78
1484,obres,78
1485,interior,78
1486,teus,78
1487,as,78
1488,enamorat,78
1489,volgué,78
1490,--va,78
1491,heroi,78
1492,aon,78
1493,quimet,78
1494,p,78
1495,prenent,78
1496,llàstima,78
1497,treu,78
1498,ocells,78
1499,fressa,77
1500,reia,77
1501,calor,77
1502,consell,77
1503,terme,77
1504,sentir-se,77
1505,caius,77
1506,habitants,77
1507,consol,77
1508,masia,77
1509,sentits,77
1510,immensa,77
1511,marxar,77
1512,autor,76
1513,dolçament,76
1514,suau,76
1515,seran,76
1516,fòra,76
1517,siguin,76
1518,agafà,76
1519,plor,76
1520,vinga,76
1521,semblen,76
1522,donar-li,76
1523,solia,76
1524,pensà,76
1525,vagi,76
1526,lusió,76
1527,nebot,76
1528,bestiar,76
1529,tenebres,75
1530,fidel,75
1531,-es,75
1532,veureu,75
1533,llegir,75
1534,capaç,75
1535,tracta,75
1536,pagesos,75
1537,gracià,75
1538,cavalleria,75
1539,fabià,75
1540,plat,75
1541,bastant,75
1542,cova,75
1543,precisament,75
1544,puja,74
1545,fàcil,74
1546,puntual,74
1547,vendre,74
1548,quietud,74
1549,principi,74
1550,tractava,74
1551,seda,74
1552,fil,74
1553,plorant,74
1554,estimo,73
1555,plom,73
1556,retorn,73
1557,tenint,73
1558,simple,73
1559,cervesa,73
1560,gaspar,73
1561,natura,73
1562,capell,73
1563,-vaja,73
1564,tresor,73
1565,pàtria,73
1566,misèria,73
1567,amagat,73
1568,públic,73
1569,raigs,73
1570,igualment,73
1571,fonda,73
1572,antiga,73
1573,callar,73
1574,vadô,73
1575,-va,73
1576,castell,72
1577,ganivet,72
1578,encís,72
1579,roses,72
1580,peixos,72
1581,suor,72
1582,perduda,72
1583,estació,72
1584,nena,72
1585,entusiasme,72
1586,sabien,72
1587,aparegué,72
1588,quedava,72
1589,estenia,72
1590,fer-ne,72
1591,hoplites,72
1592,atzar,72
1593,tindria,72
1594,paisatge,72
1595,miraven,72
1596,espasa,72
1597,escoltar,72
1598,ribera,72
1599,dir-se,72
1600,comiat,72
1601,patir,72
1602,prenia,71
1603,balcó,71
1604,agafa,71
1605,ensems,71
1606,esclat,71
1607,farem,71
1608,diumenge,71
1609,bot,71
1610,pàl,71
1611,carro,71
1612,digne,71
1613,segueix,71
1614,jugar,71
1615,lliures,71
1616,-l,71
1617,fas,71
1618,aturà,71
1619,parlat,71
1620,àvia,71
1621,-molt,71
1622,escriure,70
1623,verd,70
1624,fem,70
1625,dolent,70
1626,completament,70
1627,desde,70
1628,màquina,70
1629,resultat,70
1630,blancs,70
1631,palla,70
1632,pepis,70
1633,robert,70
1634,corria,70
1635,gall,70
1636,entén,70
1637,frase,70
1638,estàs,70
1639,cafè,70
1640,justament,70
1641,policia,70
1642,envia,70
1643,satisfet,69
1644,menjador,69
1645,serena,69
1646,movia,69
1647,siga,69
1648,tractar,69
1649,ciutats,69
1650,duien,69
1651,juheu,69
1652,romania,69
1653,havem,69
1654,mateixes,69
1655,chor,69
1656,drets,69
1657,reina,69
1658,anglaterra,69
1659,ventre,69
